,Date,Price,Number Sold,Item
0,2015-09-01,5.692,518,Righteous Thunderbolt
1,2015-09-02,6.599,173,Righteous Thunderbolt
2,2015-09-03,6.439,153,Righteous Thunderbolt
3,2015-09-04,6.287,169,Righteous Thunderbolt
4,2015-09-05,6.444,169,Righteous Thunderbolt
5,2015-09-06,6.464,152,Righteous Thunderbolt
6,2015-09-07,6.173,108,Righteous Thunderbolt
7,2015-09-08,5.171,141,Righteous Thunderbolt
8,2015-09-09,4.925,179,Righteous Thunderbolt
9,2015-09-10,6.132,141,Righteous Thunderbolt
10,2015-09-11,6.429,94,Righteous Thunderbolt
11,2015-09-12,7.313,91,Righteous Thunderbolt
12,2015-09-13,7.259,81,Righteous Thunderbolt
13,2015-09-14,7.042,69,Righteous Thunderbolt
14,2015-09-15,6.708,61,Righteous Thunderbolt
15,2015-09-16,6.857,66,Righteous Thunderbolt
16,2015-09-17,6.836,51,Righteous Thunderbolt
17,2015-09-18,7.229,57,Righteous Thunderbolt
18,2015-09-19,7.174,61,Righteous Thunderbolt
19,2015-09-20,7.789,64,Righteous Thunderbolt
20,2015-09-21,7.624,39,Righteous Thunderbolt
21,2015-09-22,6.848,47,Righteous Thunderbolt
22,2015-09-23,6.342,58,Righteous Thunderbolt
23,2015-09-24,6.166,52,Righteous Thunderbolt
24,2015-09-25,6.207,57,Righteous Thunderbolt
25,2015-09-26,6.029,87,Righteous Thunderbolt
26,2015-09-27,5.792,74,Righteous Thunderbolt
27,2015-09-28,5.665,62,Righteous Thunderbolt
28,2015-09-29,5.79,60,Righteous Thunderbolt
29,2015-09-30,5.202,86,Righteous Thunderbolt
30,2015-10-01,4.94,72,Righteous Thunderbolt
31,2015-10-02,5.51,75,Righteous Thunderbolt
32,2015-10-03,5.615,69,Righteous Thunderbolt
33,2015-10-04,5.191,74,Righteous Thunderbolt
34,2015-10-05,4.891,53,Righteous Thunderbolt
35,2015-10-06,4.709,59,Righteous Thunderbolt
36,2015-10-07,4.545,64,Righteous Thunderbolt
37,2015-10-08,4.682,56,Righteous Thunderbolt
38,2015-10-09,4.772,65,Righteous Thunderbolt
